"reviews"	Translation	Positive	Negative	EmotionRationale
"This is the best app for agricultural products and staff service is good and dealing with the customers is excellent and delivery of the products also good thankyou"	"This is the best ap for agricultural products and staff service is good and dealing with the customers is excellent and delivery of the products also good thankyou"	4	-1	 This[0] is[0] the[0] best[1] app/ap[0] for[0] agricultural[0] products[0] and[0] staff[0] service[0] is[0] good[1] and[0] dealing[0] with[0] the[0] customers[0] is[0] excellent[3] and[0] delivery[0] of[0] the[0] products[0] also[0] good[1] thankyou[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"Good products and good service  U 0001F44D "	"Good products and good service  U 001F44D "	2	-1	 Good[1] products[0] and[0] good[1] service[0] U[0] 0001F44D/001F44D[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"good products and services is also good U 0001F44D  U 0001F44D "	"good products and services is also good U 001F44D  U 001F44D "	2	-1	 good[1] products[0] and[0] services[0] is[0] also[0] good[1] U[0] 0001F44D/001F44D[0] U[0] 0001F44D/001F44D[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Good products and services are good U 0001F44D  U 0001F44D "	"Good products and services are good U 001F44D  U 001F44D "	2	-1	 Good[1] products[0] and[0] services[0] are[0] good[1] U[0] 0001F44D/001F44D[0] U[0] 0001F44D/001F44D[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"I am very happy with Bighaat application and it's services.Bighaat provides you quality and genuine products with reasonable price. Also, we will get different products like fertilizer, pesticides, etc (all in one). Thank you Bighaat and team."	"I am very happy with Bighat application and it's services.<br>Bighat provides you quality and genuine products with reasonable price.<br> Also, we will get different products like fertilizer, pesticides, etc (all in one)<br> Thank you Bighat and team.	3	-1	 I[0] am[0] very[0] happy[1][1 LastWordBoosterStrength] with[0] Bighaat/Bighat[0] application[0] and[0] it's[0] services[0] [[Sentence=-1,3=word max, 1-5]] Bighaat/Bighat[0] provides[0] you[0] quality[0] and[0] genuine[0] products[0] with[0] reasonable[0] price[0] [[Sentence=-1,1=word max, 1-5]] Also[0] we[0] will[0] get[0] different[0] products[0] like[1] fertilizer[0] pesticides[0] etc[0] all[0] in[0] one[0] [[Sentence=-1,2=word max, 1-5]] Thank[1] you[0] Bighaat/Bighat[0] and[0] team[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"Now farming is as simple as we used to do by fetching products from this BiHaat application in reasonable price and quality. Don't go for negative comments as they had not practiced proper way. My experience is that I got my product even if it was unavailable. They called me and placed the order by themselves. T Its a good application which provide quality and accurate service to farmers as per their requirements. Thanks BigHaat.  U 0001F44D "	"Now farming is as simple as we used to do by fetching products from this BiHat application in reasonable price and quality.<br> Don't go for negative comments as they had not practiced proper way.<br> My experience is that I got my product even if it was unavailable.<br> They called me and placed the order by themselves.<br> T Its a good application which provide quality and accurate service to farmers as per their requirements.<br> Thanks BigHat.<br>  U 001F44D "	2	-2	 Now[0] farming[0] is[0] as[0] simple[0] as[0] we[0] used[0] to[0] do[0] by[0] fetching[0] products[0] from[0] this[0] BiHaat/BiHat[0] application[0] in[0] reasonable[0] price[0] and[0] quality[0] [[Sentence=-1,1=word max, 1-5]] Don't[0] go[0] for[0] negative[-1] comments[0] as[0] they[0] had[0] not[0] practiced[0] proper[0] way[0] [[Sentence=-2,1=word max, 1-5]] My[0] experience[0] is[0] that[0] I[0] got[0] my[0] product[0] even[0] if[0] it[0] was[0] unavailable[0] [[Sentence=-1,1=word max, 1-5]] They[0] called[0] me[0] and[0] placed[0] the[0] order[0] by[0] themselves[0] [[Sentence=-1,1=word max, 1-5]] T[0] Its[0] a[0] good[1] application[0] which[0] provide[0] quality[0] and[0] accurate[0] service[0] to[0] farmers[0] as[0] per[0] their[0] requirements[0] [[Sentence=-1,2=word max, 1-5]] Thanks[1] BigHaat/BigHat[0] [[Sentence=-1,2=word max, 1-5]] U[0] 0001F44D/001F44D[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
"Worst app, very poor service. I ordered twice,but I did not get the product. Customer care number is also not working. Tried much but did not get response."	"Worst ap, very poor service.<br> I ordered twice,but I did not get the product.<br> Customer care number is also not working.<br> Tried much but did not get response.	2	-3	 Worst[-2] app/ap[0] very[0] poor[-1][-1 LastWordBoosterStrength] service[0] [[Sentence=-3,1=word max, 1-5]] I[0] ordered[0] twice[0] but[0] I[0] did[0] not[0] get[0] the[0] product[0] [[Sentence=-1,1=word max, 1-5]] Customer[0] care[1] number[0] is[0] also[0] not[0] working[0] [[Sentence=-1,2=word max, 1-5]] Tried[0] much[0] but[0] did[0] not[0] get[0] response[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
"Wide varity of product, with the good quality. The services are also very good. I recomend any one who is intrested in buying agri product should try this. Good work Bighaat. Keep it up."	"Wide varity of product, with the good quality.<br> The services are also very good.<br> I recomend any one who is intrested in buying agri product should try this.<br> Good work Bighat.<br> Keep it up.	3	-1	 Wide[0] varity[0] of[0] product[0] with[0] the[0] good[1] quality[0] [[Sentence=-1,2=word max, 1-5]] The[0] services[0] are[0] also[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] I[0] recomend[0] any[0] one[0] who[0] is[0] intrested[0] in[0] buying[0] agri[0] product[0] should[0] try[0] this[0] [[Sentence=-1,1=word max, 1-5]] Good[1] work[0] Bighaat/Bighat[0] [[Sentence=-1,2=word max, 1-5]] Keep[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"Firstly I said thanks to BigHaat. It is very useful to farmers for purchase of different types of seeds and the product quality is so good and reasonable prices. Customer care service is soo good. THANKS TO BigHaat."	"Firstly I said thanks to BigHat.<br> It is very useful to farmers for purchase of different types of seeds and the product quality is so good and reasonable prices.<br> Customer care service is so good.<br> THANKS TO BigHat.	3	-1	 Firstly[0] I[0] said[0] thanks[1] to[0] BigHaat/BigHat[0] [[Sentence=-1,2=word max, 1-5]] It[0] is[0] very[0] useful[1][1 LastWordBoosterStrength] to[0] farmers[0] for[0] purchase[0] of[0] different[0] types[0] of[0] seeds[0] and[0] the[0] product[0] quality[0] is[0] so[0] good[1] and[0] reasonable[0] prices[0] [[Sentence=-1,3=word max, 1-5]] Customer[0] care[1] service[0] is[0] soo/so[0] good[1] [[Sentence=-1,2=word max, 1-5]] THANKS[1] TO[0] BigHaat/BigHat[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"It's a good App. I rate 5 stars. You can order and sale Agricultural products online. They need to add more service or things on the App"	"It's a good Ap.<br> I rate 5 stars.<br> You can order and sale Agricultural products online.<br> They need to add more service or things on the Ap"	2	-1	 It's[0] a[0] good[1] App/Ap[0] [[Sentence=-1,2=word max, 1-5]] I[0] rate[0] 5[0] stars[0] [[Sentence=-1,1=word max, 1-5]] You[0] can[0] order[0] and[0] sale[0] Agricultural[0] products[0] online[0] [[Sentence=-1,1=word max, 1-5]] They[0] need[0] to[0] add[0] more[0] service[0] or[0] things[0] on[0] the[0] App/Ap[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
