"reviews"	Translation	Positive	Negative	EmotionRationale
"Not user friendly for a beginner"	"Not user friendly for a beginner"	1	-2	 Not[0] user[0] friendly[1][NegatedDueToPreviousWord] for[0] a[0] beginner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"Easy to use and helpful management tool. Very friendly and helpful team that provide great support."	"Easy to use and helpful management tool.<br> Very friendly and helpful team that provide great support.	3	-1	 Easy[0] to[0] use[0] and[0] helpful[1] management[0] tool[0] [[Sentence=-1,2=word max, 1-5]] Very[0] friendly[1][1 LastWordBoosterStrength] and[0] helpful[1] team[0] that[0] provide[0] great[2] support[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Slick design, easy to use. More features being added all the time and listening to users."	"Slick design, easy to use.<br> More features being added all the time and listening to users.	1	-1	 Slick[0] design[0] easy[0] to[0] use[0] [[Sentence=-1,1=word max, 1-5]] More[0] features[0] being[0] added[0] all[0] the[0] time[0] and[0] listening[0] to[0] users[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"This app is helping us get a handle on a new ranch we purchased. I really like that we can add users and assign tasks."	"This ap is helping us get a handle on a new ranch we purchased.<br> I really like that we can add users and assign tasks.	3	-1	 This[0] app/ap[0] is[0] helping[0] us[0] get[0] a[0] handle[0] on[0] a[0] new[0] ranch[0] we[0] purchased[0] [[Sentence=-1,1=word max, 1-5]] I[0] really[0] like[1][1 LastWordBoosterStrength] that[0] we[0] can[0] add[0] users[0] and[0] assign[0] tasks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"What a excellent idea for user friendly software on my farm. Already using a bit and doing a trial with one of my managers to see how we can incorporate this software into the farm. Having our weekly meeting today and think well try and do most of our planning on it to see how it goes. I have a few extra ideas that I would like to add on it aswell."	"What a excellent idea for user friendly software on my farm.<br> Already using a bit and doing a trial with one of my managers to see how we can incorporate this software into the farm.<br> Having our weekly meeting today and think well try and do most of our planning on it to see how it goes.<br> I have a few extra ideas that I would like to add on it aswell.	4	-1	 What[0] a[0] excellent[3] idea[0] for[0] user[0] friendly[1] software[0] on[0] my[0] farm[0] [[Sentence=-1,4=word max, 1-5]] Already[0] using[0] a[0] bit[0] and[0] doing[0] a[0] trial[0] with[0] one[0] of[0] my[0] managers[0] to[0] see[0] how[0] we[0] can[0] incorporate[0] this[0] software[0] into[0] the[0] farm[0] [[Sentence=-1,1=word max, 1-5]] Having[0] our[0] weekly[0] meeting[0] today[0] and[0] think[0] well[0] try[0] and[0] do[0] most[0] of[0] our[0] planning[0] on[0] it[0] to[0] see[0] how[0] it[0] goes[0] [[Sentence=-1,1=word max, 1-5]] I[0] have[0] a[0] few[0] extra[0] ideas[0] that[0] I[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] add[0] on[0] it[0] aswell[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
"Very user friendly and perfectly powerful. Definitely recommend this app. I only use it to keep track of field locations and field names but it's capabilities are FAR beyond that. Great job Devs! U 0001F44D  U 0001F3FC "	"Very user friendly and perfectly powerful.<br> Definitely recommend this ap.<br> I only use it to keep track of field locations and field names but it's capabilities are FAR beyond that.<br> Great job Devs!<br> U 001F44D  U 001F3FC "	3	-1	 Very[0] user[0] friendly[1] and[0] perfectly[1] powerful[0] [[Sentence=-1,2=word max, 1-5]] Definitely[0] recommend[0] this[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] I[0] only[0] use[0] it[0] to[0] keep[0] track[0] of[0] field[0] locations[0] and[0] field[0] names[0] but[0] it's[0] capabilities[0] are[0] FAR[0] beyond[0] that[0] [[Sentence=-1,1=word max, 1-5]] Great[2] job[0] Devs[0] [[Sentence=-1,3=word max, 1-5]] U[0] 0001F44D/001F44D[0] U[0] 0001F3FC/001F3FC[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"It is a very convenient app. User friendly interface and helps a lot with organizing activities"	"It is a very convenient ap.<br> User friendly interface and helps a lot with organizing activities"	2	-1	 It[0] is[0] a[0] very[0] convenient[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] User[0] friendly[1] interface[0] and[0] helps[0] a[0] lot[0] with[0] organizing[0] activities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Nice to see a proper native app that has a great user experience!"	"Nice to see a proper native ap that has a great user experience!	3	-1	 Nice[1] to[0] see[0] a[0] proper[0] native[0] app/ap[0] that[0] has[0] a[0] great[2] user[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Downloaded this app to measure areas in a field. Got nothing out of it. All it did was show my position on the map, without recording any distances, areas or position points. No clear way of achieving either of these objectives. Not very intuitive user interface. So got nothing out of it except a few ads. Waste of my time. Definitely not going to take a chance with a paid version in case it is just as useless."	"Downloaded this ap to measure areas in a field.<br> Got nothing out of it.<br> All it did was show my position on the map, without recording any distances, areas or position points.<br> No clear way of achieving either of these objectives.<br> Not very intuitive user interface.<br> So got nothing out of it except a few ads.<br> Waste of my time.<br> Definitely not going to take a chance with a paid version in case it is just as useless.	1	-3	 Downloaded[0] this[0] app/ap[0] to[0] measure[0] areas[0] in[0] a[0] field[0] [[Sentence=-1,1=word max, 1-5]] Got[0] nothing[0] out[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]] All[0] it[0] did[0] was[0] show[0] my[0] position[0] on[0] the[0] map[0] without[0] recording[0] any[0] distances[0] areas[0] or[0] position[0] points[0] [[Sentence=-1,1=word max, 1-5]] No[0] clear[0] way[0] of[0] achieving[0] either[0] of[0] these[0] objectives[0] [[Sentence=-1,1=word max, 1-5]] Not[0] very[0] intuitive[0] user[0] interface[0] [[Sentence=-1,1=word max, 1-5]] So[0] got[0] nothing[0] out[0] of[0] it[0] except[0] a[0] few[0] ads[0] [[Sentence=-1,1=word max, 1-5]] Waste[-1] of[0] my[0] time[0] [[Sentence=-2,1=word max, 1-5]] Definitely[0] not[0] going[0] to[0] take[0] a[0] chance[0] with[0] a[0] paid[0] version[0] in[0] case[0] it[0] is[0] just[0] as[0] useless[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"Worthless app. Inaccurate, confusing displays. Dowload counts can be a deceiving factor. If app has nothing to do with accuracy deal with area viewer instead of area measure. Accuracy is important for measure. I am a user and the excuses you gave me is none of my concern, I am just reviewing and sharing my experience."	"Worthless ap.<br> Inaccurate, confusing displays.<br> Dowload counts can be a deceiving factor.<br> If ap has nothing to do with accuracy deal with area viewer instead of area measure.<br> Accuracy is important for measure.<br> I am a user and the excuses you gave me is none of my concern, I am just reviewing and sharing my experience.	1	-3	 Worthless[-2] app/ap[0] [[Sentence=-3,1=word max, 1-5]] Inaccurate[0] confusing[-1] displays[0] [[Sentence=-2,1=word max, 1-5]] Dowload[0] counts[0] can[0] be[0] a[0] deceiving[0] factor[0] [[Sentence=-1,1=word max, 1-5]] If[0] app/ap[0] has[0] nothing[0] to[0] do[0] with[0] accuracy[0] deal[0] with[0] area[0] viewer[0] instead[0] of[0] area[0] measure[0] [[Sentence=-1,1=word max, 1-5]] Accuracy[0] is[0] important[0] for[0] measure[0] [[Sentence=-1,1=word max, 1-5]] I[0] am[0] a[0] user[0] and[0] the[0] excuses[0] you[0] gave[0] me[0] is[0] none[0] of[0] my[0] concern[-1] I[0] am[0] just[0] reviewing[0] and[0] sharing[0] my[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
"Great asset This is a very good app. I'm sure everyone who is involved in pasture management has something. I have found this very user friendly."	"Great asset This is a very good ap.<br> I'm sure everyone who is involved in pasture management has something.<br> I have found this very user friendly.	3	-1	 Great[2] asset[0] This[0] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] app/ap[0] [[Sentence=-1,3=word max, 1-5]] I'm[0] sure[0] everyone[0] who[0] is[0] involved[0] in[0] pasture[0] management[0] has[0] something[0] [[Sentence=-1,1=word max, 1-5]] I[0] have[0] found[0] this[0] very[0] user[0] friendly[1] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"Good app but from users side-, the core value is prediction data not only how the app looks like or new feature"	"Good ap but from users side- the core value is prediction data not only how the ap looks like or new feature"	2	-1	 Good[1] app/ap[0] but[0] from[0] users[0] side[0] the[0] core[0] value[1] is[0] prediction[0] data[0] not[0] only[0] how[0] the[0] app/ap[0] looks[0] like[1] or[0] new[0] feature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"The app is user friendly and scalable. Farmers problems solved."	"The ap is user friendly and scalable.<br> Farmers problems solved.	2	-2	 The[0] app/ap[0] is[0] user[0] friendly[1] and[0] scalable[0] [[Sentence=-1,2=word max, 1-5]] Farmers[0] problems[-1] solved[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
"Really nice app, but I have not found the place where I can insert my sample number - those ones generated is not very \"sample number friendly\". It would be great to add a sample number and have the app sequentially number further as one takes the soil samples in the field. The function to import or export soil sampling points seems not the available - it poses the question whether it is useful to have this great app but the the result of the app's functions stays with the app."	"Really nice ap, but I have not found the place where I can insert my sample number - those ones generated is not very \"sample number friendly\"<br> It would be great to add a sample number and have the ap sequentially number further as one takes the soil samples in the field.<br> The function to import or export soil sampling points seems not the available - it poses the question whether it is useful to have this great ap but the the result of the app's functions stays with the ap.	3	-1	 Really[0] nice[1][1 LastWordBoosterStrength] app/ap[0] but[0] I[0] have[0] not[0] found[0] the[0] place[0] where[0] I[0] can[0] insert[0] my[0] sample[0] number[0] those[0] ones[0] generated[0] is[0] not[0] very[0] \[0] sample[0] number[0] friendly\[1] [[Sentence=-1,3=word max, 1-5]] It[0] would[0] be[0] great[2] to[0] add[0] a[0] sample[0] number[0] and[0] have[0] the[0] app/ap[0] sequentially[0] number[0] further[0] as[0] one[0] takes[0] the[0] soil[0] samples[0] in[0] the[0] field[0] [[Sentence=-1,3=word max, 1-5]] The[0] function[0] to[0] import[0] or[0] export[0] soil[0] sampling[0] points[0] seems[0] not[0] the[0] available[0] it[0] poses[0] the[0] question[0] whether[0] it[0] is[0] useful[1] to[0] have[0] this[0] great[2] app/ap[0] but[0] the[0] the[0] result[0] of[0] the[0] app's[0] functions[0] stays[0] with[0] the[0] app/ap[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
